id,task,framework,constraint,version,fold,type,metric,utc,training_duration,predict_duration,result
id/0,gnad10,ablation_lr_decay,g4_12x,1.0.1b20240229,0,multiclass,acc,2024-02-29T14:06:05,2456.3,45.1,0.891050583657588
id/0,MultiATIS-5000,ablation_lr_decay,g4_12x,1.0.1b20240229,0,multiclass,acc,2024-02-29T14:06:03,1462.8,39.6,0.992143658810326
id/0,fb_dialog,ablation_lr_decay,g4_12x,1.0.1b20240229,0,multiclass,acc,2024-02-29T14:06:33,4549.4,50.2,0.993076035389152
id/0,SNIPS,ablation_lr_decay,g4_12x,1.0.1b20240229,0,multiclass,acc,2024-02-29T14:05:02,3341.7,39.4,0.991428571428571
id/0,ag_news,ablation_lr_decay,g4_12x,1.0.1b20240229,0,multiclass,acc,2024-02-29T14:05:04,24323.7,49.8,0.942763157894737
id/0,financial_news,ablation_base,g4_12x,1.0.1b20240229,0,multiclass,acc,2024-02-29T15:13:11,824.0,40.5,0.587203302373581
id/0,MLDoc-11000,ablation_base,g4_12x,1.0.1b20240229,0,multiclass,acc,2024-02-29T15:13:06,2672.3,58.0,0.384
id/0,gnad10,ablation_base,g4_12x,1.0.1b20240229,0,multiclass,acc,2024-02-29T15:09:45,2373.6,44.6,0.165369649805447
id/0,MultiATIS-5000,ablation_base,g4_12x,1.0.1b20240229,0,multiclass,acc,2024-02-29T15:13:12,1032.5,39.0,0.723905723905724
id/0,fb_dialog,ablation_base,g4_12x,1.0.1b20240229,0,multiclass,acc,2024-02-29T15:13:07,3258.1,49.2,0.459033209385819
id/0,SNIPS,ablation_base,g4_12x,1.0.1b20240229,0,multiclass,acc,2024-02-29T15:09:44,3143.9,39.2,0.545714285714286
id/0,ag_news,ablation_base,g4_12x,1.0.1b20240229,0,multiclass,acc,2024-02-29T15:07:42,24245.1,49.7,0.608157894736842
id/0,financial_news,ablation_greedy_soup,g4_12x,1.0.1b20240229,0,multiclass,acc,2024-02-29T15:25:04,949.5,41.0,0.587203302373581
id/0,MLDoc-11000,ablation_greedy_soup,g4_12x,1.0.1b20240229,0,multiclass,acc,2024-02-29T15:26:04,2797.6,58.1,0.384
id/0,gnad10,ablation_greedy_soup,g4_12x,1.0.1b20240229,0,multiclass,acc,2024-02-29T15:27:07,2512.1,44.9,0.165369649805447
id/0,MultiATIS-5000,ablation_greedy_soup,g4_12x,1.0.1b20240229,0,multiclass,acc,2024-02-29T15:27:05,1184.2,39.3,0.723905723905724
id/0,fb_dialog,ablation_greedy_soup,g4_12x,1.0.1b20240229,0,multiclass,acc,2024-02-29T15:31:12,3387.4,49.8,0.459033209385819
id/0,SNIPS,ablation_greedy_soup,g4_12x,1.0.1b20240229,0,multiclass,acc,2024-02-29T15:31:10,3315.2,39.0,0.544285714285714
id/0,ag_news,ablation_greedy_soup,g4_12x,1.0.1b20240229,0,multiclass,acc,2024-02-29T15:31:14,24282.8,49.8,0.615263157894737
id/0,financial_news,ablation_gradient_clip,g4_12x,1.0.1b20240229,0,multiclass,acc,2024-02-29T15:48:05,904.1,40.4,0.587203302373581
id/0,MLDoc-11000,ablation_gradient_clip,g4_12x,1.0.1b20240229,0,multiclass,acc,2024-02-29T15:48:07,2767.7,58.0,0.38875
id/0,gnad10,ablation_gradient_clip,g4_12x,1.0.1b20240229,0,multiclass,acc,2024-02-29T15:48:04,2566.2,44.9,0.204280155642023
id/0,MultiATIS-5000,ablation_gradient_clip,g4_12x,1.0.1b20240229,0,multiclass,acc,2024-02-29T15:48:05,1183.9,39.6,0.723905723905724
